1.1.7.01.01.01.001;Aspal
1.1.7.01.02.04.023;Suku Cadang Alat Laboratorium Fisika
1.1.7.01.02.04.024;Suku Cadang Alat Laboratorium Hidrodinamika
1.1.7.01.02.04.025;Suku Cadang Alat Laboratorium Pengkajian Teknik Pantai
1.1.7.01.02.04.026;Suku Cadang Alat Laboratorium Kematologi
1.1.7.01.02.04.027;Suku Cadang Alat Laboratorium Proses Peleburan
1.1.7.01.02.04.028;Suku Cadang Alat Laboratorium Pasir
1.1.7.01.02.04.029;Suku Cadang Alat Laboratorium Proses Pembuatan Cetakan
1.1.7.01.02.04.030;Suku Cadang Alat Laboratorium Proses Pembuatan Pola
1.1.7.01.02.04.031;Suku Cadang Alat Laboratoriummetalography
1.1.7.01.02.04.032;Suku Cadang Alat Laboratorium Proses Pengelasan
1.1.7.01.02.04.033;Suku Cadang Alat Laboratorium Uji Proses Pengelasan
1.1.7.01.02.04.034;Suku Cadang Alat Laboratorium Proses Pembuatan Logam
1.1.7.01.02.04.035;Suku Cadang Alat Laboratorium Metrologie
1.1.7.01.02.04.036;Suku Cadang Alat Laboratorium Proses Pelapisan Logam
1.1.7.01.02.04.037;Suku Cadang Alat Laboratorium Proses Pengolahan Panas
1.1.7.01.02.04.038;Suku Cadang Alat Laboratorium Proses Teknologi Tekstil
1.1.7.01.02.04.039;Suku Cadang Alat Laboratorium Uji Tekstil
1.1.7.01.02.04.040;Suku Cadang Alat Laboratorium Proses Teknologi Keramik
1.1.7.01.02.04.041;Suku Cadang Alat Laboratorium Proses Teknologi Kulit Karet
1.1.7.01.02.04.042;Suku Cadang Alat Laboratorium Uji Kulit Karet Dan Plastik
1.1.7.01.02.04.043;Suku Cadang Alat Laboratorium Alat Uji Keramik
1.1.7.01.02.04.044;Suku Cadang Alat Laboratorium Proses Teknologi Selulosa
1.1.7.01.02.04.045;Suku Cadang Alat Laboratorium Paskapanen
1.1.7.01.02.04.046;Suku Cadang Alat Laboratorium Pertanian (Suku Cadang Alat Laboratorium)
1.1.7.01.02.04.047;Suku Cadang Alat Laboratorium Kualitas Air
1.1.7.01.02.04.048;Suku Cadang Alat Laboratorium Elektronika Dan Daya
1.1.7.01.02.04.049;Suku Cadang Alat Laboratorium Energi Surya
1.1.7.01.02.04.050;Suku Cadang Alat Laboratorium Konversi Batubara Dan Bioma
1.1.7.01.02.04.051;Suku Cadang Alat Laboratorium Oceanografi
1.1.7.01.02.04.052;Suku Cadang Alat Laboratorium Perairan
1.1.7.01.02.04.053;Suku Cadang Alat Laboratorium Biologi
1.1.7.01.02.04.054;Suku Cadang Alat Laboratorium Geofisika
1.1.7.01.02.04.055;Suku Cadang Alat Laboratorium Tambang
1.1.7.01.02.04.056;Suku Cadang Alat Laboratorium Tambang Proses/Teknik Kimia
1.1.7.01.02.04.057;Suku Cadang Alat Laboratorium Proses Industri
1.1.7.01.02.04.058;Suku Cadang Alat Laboratorium Kesehatan Kerja
1.1.7.01.02.04.059;Suku Cadang Alat Laboratorium Kearsipan
1.1.7.01.02.04.060;Suku Cadang Alat Laboratorium Perikanan Dan Kelautan
1.1.7.01.02.04.061;Suku Cadang Alat Laboratorium Lainnya
1.1.7.01.02.05.001;Suku Cadang Alat Pemancar Mf/Mw
1.1.7.01.02.05.002;Suku Cadang Alat Pemancar Hf/Sw
1.1.7.01.02.05.003;Suku Cadang Alat Pemancar Fhf/Mf
1.1.7.01.02.05.004;Suku Cadang Alat Pemancar Uhf
1.1.7.01.02.05.005;Suku Cadang Alat Pemancar Shf
1.1.7.01.02.05.006;Suku Cadang Alat Pemancar Lainnya
1.1.7.01.02.06.001;Suku Cadang Alat Studio
1.1.7.01.02.06.002;Suku Cadang Alat Komunikasi
1.1.7.01.02.06.003;Suku Cadang Alat Studio Dan Komunikasi Lainnya
1.1.7.01.02.07.001;Suku Cadang Alat Pengolahan Ternak Dan Tanaman
1.1.7.01.02.07.002;Suku Cadang Alat Pemeliharaan Tanaman/Ikan/Ternak
1.1.7.01.02.07.003;Suku Cadang Alat Panen
1.1.7.01.02.07.004;Suku Cadang Alat Penyimpanan Hasil Percobaan Pertanian
1.1.7.01.02.07.005;Suku Cadang Alat Laboratorium Pertanian (Suku Cadang Alat Pertanian)
1.1.7.01.02.07.006;Suku Cadang Alat Prossesing
1.1.7.01.02.07.007;Suku Cadang Alat Paska Panen
1.1.7.01.02.07.008;Suku Cadang Alat Produksi
1.1.7.01.02.07.009;Suku Cadang Alat Pertanian Lainnya
1.1.7.01.02.08.001;Suku Cadang Alat Bengkel Bermesin
1.1.7.01.02.08.002;Suku Cadang Alat Bengkel Tidak Bermesin
1.1.7.01.02.08.003;Suku Cadang Alat Bengkel Lainnya
1.1.7.01.02.09.001;Suku Cadang Pistol
1.1.7.01.02.09.002;Suku Cadang Senapan Mesin
1.1.7.01.02.09.003;Suku Cadang Senapan Otomatis (So)
1.1.7.01.02.09.004;Suku Cadang Meriam
1.1.7.01.02.09.005;Suku Cadang Rudal
1.1.7.01.02.09.006;Suku Cadang Jihandak
1.1.7.01.02.09.007;Suku Cadang Ranjau
1.1.7.01.02.09.008;Suku Cadang Penyamaran
1.1.7.01.02.09.009;Suku Cadang Alat Pembuat Senjata
1.1.7.01.02.09.010;Suku Cadang Alat Pembuat Amunisi
1.1.7.01.02.09.011;Suku Cadang Pendukung
1.1.7.01.02.09.012;Suku Cadang Alat Persenjataan Lainnya
1.1.7.01.02.10.001;Persediaan Dari Belanja Bantuan Sosial Lainnya
1.1.7.01.02.11.001;Suku Cadang Lainnya
1.1.7.01.03.01.001;Alat Tulis
1.1.7.01.03.01.002;Tinta Tulis, Tinta Stempel
1.1.7.01.03.01.003;Penjepit Kertas
1.1.7.01.03.01.004;Penghapus/Korektor
1.1.7.01.03.01.005;Buku Tulis
1.1.7.01.03.01.006;Ordner Dan Map
1.1.7.01.03.01.007;Penggaris
1.1.7.01.03.01.008;Cutter (Alat Tulis Kantor)
1.1.7.01.03.01.009;Pita Mesin Ketik
1.1.7.01.03.01.010;Alat Perekat
1.1.7.01.03.01.011;Stadler Hd
1.1.7.01.03.01.012;Staples
1.1.7.01.03.01.013;Isi Staples
1.1.7.01.03.01.014;Barang Cetakan
1.1.7.01.03.01.015;Seminar Kit
1.1.7.01.03.01.016;Alat Tulis Kantor Lainnya
1.1.7.01.03.02.001;Kertas Hvs
1.1.7.01.03.02.002;Berbagai Kertas
1.1.7.01.03.02.003;Kertas Cover
1.1.7.01.03.02.004;Amplop
1.1.7.01.03.02.005;Kop Surat
1.1.7.01.03.02.006;Kertas Dan Cover Lainnya
1.1.7.01.03.03.001;Transparant Sheet
1.1.7.01.03.03.002;Tinta Cetak
1.1.7.01.03.03.003;Plat Cetak
1.1.7.01.03.03.004;Stensil Sheet
1.1.7.01.03.03.005;Chenical/Bahan Kimia Cetak
1.1.7.01.03.03.006;Film Cetak
1.1.7.01.03.03.007;Bahan Cetak Lainnya
1.1.7.01.03.04.001;Materai
1.1.7.01.03.04.002;Perangko
1.1.7.01.03.04.003;Benda Pos Lainnya
1.1.7.01.03.05.001;Persediaan Dokumen/Administrasi Tender
1.1.7.01.03.05.002;Persediaan Dokumen/Administrasi Tender Lainnya
1.1.7.01.03.06.001;Continuous Form
1.1.7.01.03.06.002;Computer File/Tempat Disket
1.1.7.01.03.06.003;Pita Printer
1.1.7.01.03.06.004;Tinta/Toner Printer
1.1.7.01.03.06.005;Disket
1.1.7.01.03.06.006;Usb/Flash Disk
1.1.7.01.03.06.007;Kartu Memori
1.1.7.01.03.06.008;Cd/Dvd Drive
1.1.7.01.03.06.009;Hard Disk Internal
1.1.7.01.03.06.010;Mouse
1.1.7.01.03.06.011;Cd/Dvd
1.1.7.01.03.06.012;Bahan Komputer Lainnya
1.1.7.01.03.07.001;Sapu Dan Sikat
1.1.7.01.03.07.002;Alat-Alat Pel Dan Lap
1.1.7.01.03.07.003;Ember, Slang, Dan Tempat Air Lainnya
1.1.7.01.03.07.004;Keset Dan Tempat Sampah
1.1.7.01.03.07.005;Kunci, Kran Dan Semprotan
1.1.7.01.03.07.006;Alat Pengikat
1.1.7.01.03.07.007;Peralatan Ledeng
1.1.7.01.03.07.008;Bahan Kimia Untuk Pembersih
1.1.7.01.03.07.009;Alat Untuk Makan Dan Minum
1.1.7.01.03.07.010;Kaos Lampu Petromak
1.1.7.01.03.07.011;Kaca Lampu Petromak
1.1.7.01.03.07.012;Pengharum Ruangan
1.1.7.01.03.07.013;Kuas
1.1.7.01.03.07.014;Segel/Tanda Pengaman
1.1.7.01.03.07.015;Perabot Kantor Lainnya
1.1.7.01.03.08.001;Kabel Listrik
1.1.7.01.03.08.002;Lampu Listrik
1.1.7.01.03.08.003;Stop Kontak
1.1.7.01.03.08.004;Saklar
1.1.7.01.03.08.005;Stacker
1.1.7.01.03.08.006;Balast
1.1.7.01.03.08.007;Starter
1.1.7.01.03.08.008;Vitting
1.1.7.01.03.08.009;Accu
1.1.7.01.03.08.010;Batu Baterai
1.1.7.01.03.08.011;Stavol
1.1.7.01.03.08.012;Alat Listrik Lainnya
1.1.7.01.03.09.001;Bahan Baku Pakaian
1.1.7.01.03.09.002;Penutup Kepala
1.1.7.01.03.09.003;Penutup Badan
1.1.7.01.03.09.004;Penutup Tangan
1.1.7.01.03.09.005;Penutup Kaki
1.1.7.01.03.09.006;Atribut
1.1.7.01.03.09.007;Perlengkapan Lapangan
1.1.7.01.03.09.008;Perlengkapan Dinas Lainnya
1.1.7.01.03.10.001;Kaporlap Dan Perlengkapan Satwa Anjing
1.1.7.01.03.10.002;Kaporlap Dan Perlengkapan Satwa Kuda
1.1.7.01.03.10.003;Kaporlap Dan Perlengkapan Satwa Lainnya
1.1.7.01.03.11.001;Bendera Start
1.1.7.01.03.11.002;Kostum Olah Raga
1.1.7.01.03.11.003;Bola Tenis Lapangan
1.1.7.01.03.11.004;Bola Tenis Meja
1.1.7.01.03.11.005;Bola Kaki
1.1.7.01.03.11.006;Bola Basket
1.1.7.01.03.11.007;Bola Volly
1.1.7.01.03.11.008;Bola Bulu Tangkis
1.1.7.01.03.11.009;Perlengkapan Pendungkung Olah Raga Lainnya
1.1.7.01.03.12.001;Plakat
1.1.7.01.03.12.002;Suvenir/Cendera Mata Lainnya
1.1.7.01.03.13.001;Alat/Bahan Untuk Kegiatan Kantor Lainnya
1.1.7.01.04.01.001;Obat Cair
1.1.7.01.04.01.002;Obat Padat
1.1.7.01.04.01.003;Obat Gas
1.1.7.01.04.01.004;Obat Serbuk/Tepung
1.1.7.01.04.01.005;Obat Gel/Salep
1.1.7.01.04.01.006;Alat/Obat Kontrasepsi Keluarga Berencana
1.1.7.01.04.01.007;Non Alat/Obat Kontrasepsi Keluarga Berencana
1.1.7.01.04.01.008;Obat Lainnya
1.1.7.01.04.02.001;Obat-Obatan Lainnya
1.1.7.01.05.01.001;Pita Cukai, Materai, Leges
1.1.7.01.05.01.002;Tanah Dan Bangunan
1.1.7.01.05.01.003;Hewan Dan Tanaman
1.1.7.01.05.01.004;Peralatan Dan Mesin
1.1.7.01.05.01.005;Jalan, Irigasi, Dan Jaringan
1.1.7.01.05.01.006;Aset Tetap Lainnya
1.1.7.01.05.01.007;Aset Lain-Lain
1.1.7.01.05.01.008;Barang Persediaan
1.1.7.01.05.01.009;Persediaan Untuk Dijual/Diserahkan Kepada Masyarakat Lainnya
1.1.7.01.05.02.001;Persediaan Untuk Dijual/Diserahkan Lainnya
1.1.7.01.06.01.001;Cadangan Energi
1.1.7.01.06.01.002;Cadangan Pangan
1.1.7.01.06.01.003;Persediaan Untuk Tujuan Strategis/Berjaga-Jaga Lainnya
1.1.7.01.06.02.001;Persediaan Untuk Tujuan Strategis/Berjaga-Jaga Lainnya
1.1.7.01.07.01.001;Makanan/Sembako
1.1.7.01.07.01.002;Minuman
1.1.7.01.07.01.003;Natura Lainnya
1.1.7.01.07.02.001;Pakan Hewan
1.1.7.01.07.02.002;Pakan Ikan
1.1.7.01.07.02.003;Pakan Lainnya
1.1.7.01.07.03.001;Natura Dan Pakan Lainnya
1.1.7.01.08.01.001;Hewan/Ternak
1.1.7.01.08.01.002;Biota Laut/Ikan
1.1.7.01.08.01.003;Tanaman
1.1.7.01.08.01.004;Persediaan Penelitian Biologi Lainnya
1.1.7.01.08.02.001;Persediaan Penelitian Biologi Lainnya
1.1.7.01.08.03.001;Antariksa
1.1.7.01.08.03.002;Pertanian
1.1.7.01.08.03.003;Perikanan
1.1.7.01.08.03.004;Perternakan
1.1.7.01.08.03.005;Perkebunan Dan Kehutanan
1.1.7.01.08.03.006;Militer
1.1.7.01.08.03.007;Persediaan Penelitian Teknologi Lainnya
1.1.7.01.08.04.001;Persediaan Penelitian Lainnya
1.1.7.01.09.01.001;Tanah Dan Bangunan Dalam Proses
1.1.7.01.09.01.002;Peralatan Dan Mesin Dalam Proses
1.1.7.01.09.01.003;Jalan, Irigasi, Dan Jaringan Dalam Proses
1.1.7.01.09.01.004;Aset Tetap Lainnya Dalam Proses
1.1.7.01.09.01.005;Aset Lain-Lain Dalam Proses
1.1.7.01.09.01.006;Barang Persediaan Dalam Proses
1.1.7.01.09.02.001;Persediaan Dalam Proses Lainnya
1.1.7.02.01.01.001;Komponen Jembatan Bailley
1.1.7.02.01.01.002;Komponen Jembatan Baja Prefab
1.1.7.02.01.01.003;Komponen Jembatan Baja Lainnya
1.1.7.02.01.02.001;Komponen Jembatan Pratekan Prefab
1.1.7.02.01.02.002;Komponen Jembatan Pratekan Lainnya
1.1.7.02.01.03.001;Dinamo Amper
1.1.7.02.01.03.002;Dinamo Start
1.1.7.02.01.03.003;Transmisi
1.1.7.02.01.03.004;Injection Pump
1.1.7.02.01.03.005;Karburator Unit
1.1.7.02.01.03.006;Motor Hidrolik
1.1.7.02.01.03.007;Engine Bensin
1.1.7.02.01.03.008;Engine Diesel
1.1.7.02.01.03.009;Komponen Peralatan Lainnya
1.1.7.02.01.04.001;Komponen Rambu-Rambu Darat
1.1.7.02.01.04.002;Komponen Rambu-Rambu Udara
1.1.7.02.01.04.003;Komponen Rambu-Rambu Lainnya
1.1.7.02.01.05.001;Blade
1.1.7.02.01.05.002;Boom
1.1.7.02.01.05.003;Bucket
1.1.7.02.01.05.004;Scarifier
1.1.7.02.01.05.005;Attachment Lainnya
1.1.7.02.01.06.001;Komponen Lainnya
1.1.7.02.02.01.001;Dci Filter
1.1.7.02.02.01.002;Pipa Air Besi Tuang
1.1.7.02.02.01.003;Pipa Air Besi Tuang (Dci) Lainnya
1.1.7.02.02.02.001;A C P 1,0
1.1.7.02.02.02.002;A C P 1,5
1.1.7.02.02.02.003;A C P 2,0
1.1.7.02.02.02.004;A C P 2,5
1.1.7.02.02.02.005;A C P 3,0
1.1.7.02.02.02.006;Pipa Asbes Semen (Acp) Lainnya
1.1.7.02.02.03.001;Pipa Baja Gelombang
1.1.7.02.02.03.002;Pipa Baja Konstruksi (Csp)
1.1.7.02.02.03.003;Pipa Baja Lapis Polyethelene
1.1.7.02.02.03.004;Pipa Baja Lapis Seng (Gip)
1.1.7.02.02.03.005;Pipa Baja Lainnya
1.1.7.02.02.04.001;Fitter Pipa Beton Pratekan
1.1.7.02.02.04.002;Pipa Beton Pratekan
1.1.7.02.02.04.003;Pipa Beton Pratekan Lainnya
1.1.7.02.02.05.001;Filter Pipa Fiber Glass
1.1.7.02.02.05.002;Pipa Fiber Glass
1.1.7.02.02.05.003;Pipa Fiber Glass Lainnya
1.1.7.02.02.06.001;Pipa Plastik Pvc
1.1.7.02.02.06.002;Upvc Fitter
1.1.7.02.02.06.003;Pipa Plastik Pvc (Upvc) Lainnya
1.1.7.02.02.07.001;P I P A Lainnya
1.1.7.03.01.01.001;Komponen Jembatan Baja Bekas
1.1.7.03.01.01.002;Komponen Jembatan Pratekan Bekas
1.1.7.03.01.01.003;Komponen Peralatan Bekas
1.1.7.03.01.01.004;Attachment Bekas
1.1.7.03.01.01.005;Kotak Dan Bilik Suara
1.1.7.03.01.01.006;Komponen Bekas Lainnya
1.1.7.03.01.02.001;Pipa Air Besi Tuang Bekas
1.1.7.03.01.02.002;Pipa Asbes Semen Bekas
1.1.7.03.01.02.003;Pipa Baja Bekas
1.1.7.03.01.02.004;Pipa Beton Pratekan Bekas
1.1.7.03.01.02.005;Pipa Fiber Gelas Bekas
1.1.7.03.01.02.006;Pipa Plastik Pvc (Upvc) Bekas
1.1.7.03.01.02.007;Pipa Bekas Lainnya
1.1.7.03.01.03.001;Komponen Bekas Dan Pipa Bekas Lainnya
1.3.1.01.01.01.001;Tanah Bangunan Rumah Negara Golongan I
1.3.1.01.01.01.002;Tanah Bangunan Rumah Negara Golongan Ii
1.3.1.01.01.01.003;Tanah Bangunan Rumah Negara Golongan Iii
1.3.1.01.01.01.004;Tanah Bangunan Rumah Negara Tanpa Golongan
1.3.1.01.01.01.005;Tanah Bangunan Mess/Wisma/Asrama
1.3.1.01.01.01.006;Tanah Bangunan Peristirahatan/Bungalaow/Cottage
1.3.1.01.01.01.007;Tanah Bangunan Rumah Penjaga
1.3.1.01.01.01.008;Tanah Bangunan Rumah Lp
1.3.1.01.01.01.009;Tanah Bangunan Rumah Tahanan/Rutan
1.3.1.01.01.01.010;Tanah Bangunan Flat/Rumah Susun
1.3.1.01.01.01.011;Tanah Kaveling Tanah Matang
1.3.1.01.01.01.012;Tanah Bangunan Perumahan/G.Tempat Tinggal Lainnya
1.3.1.01.01.02.001;Tanah Bangunan Pasar
1.3.1.01.01.02.002;Tanah Bangunan Pertokoan/Rumah Toko/Koperasi
1.3.1.01.01.02.003;Tanah Bangunan Gudang
1.3.1.01.01.02.004;Tanah Bangunan Stasiun Kereta Api
1.3.1.01.01.02.005;Tanah Bangunan Bioskop
1.3.1.01.01.02.006;Tanah Bangunan Hotel/Penginapan/Motel
1.3.1.01.01.02.007;Tanah Bangunan Terminal Darat
1.3.1.01.01.02.008;Tanah Bangunan Terminal Laut
1.3.1.01.01.02.009;Tanah Bangunan Terminal Udara
1.3.1.01.01.02.010;Tanah Bangunan Gedung Kesenian
1.3.1.01.01.02.011;Tanah Bangunan Gedung Pameran
1.3.1.01.01.02.012;Tanah Bangunan Gedung Pusat Perbelanjaan
1.3.1.01.01.02.013;Tanah Bangunan Apotik
1.3.1.01.01.02.014;Tanah Bangunan Garasi/Pool
1.3.1.01.01.02.015;Tanah Untuk Bangunan Ged.Perdagangan/Perusahaan Lainnya
1.3.1.01.01.03.001;Tanah Bangunan Industri Makanan
1.3.1.01.01.03.002;Tanah Bangunan Industri Minuman
1.3.1.01.01.03.003;Tanah Bangunan Industri Alat Rt
1.3.1.01.01.03.004;Tanah Bangunan Industri Pakaian/Garment
1.3.1.01.01.03.005;Tanah Bangunan Industri Baja/Besi/Logam
1.3.1.01.01.03.006;Tanah Bangunan Industri Pengemasan
1.3.1.01.01.03.007;Tanah Bangunan Industri Bengkel
1.3.1.01.01.03.008;Tanah Bangunan Industri Penyulingan Minyak
1.3.1.01.01.03.009;Tanah Bangunan Industri Kimia Dan Pupuk
1.3.1.01.01.03.010;Tanah Bangunan Industri Obat-Obatan
1.3.1.01.01.03.011;Tanah Bangunan Industri Semen
1.3.1.01.01.03.012;Tanah Bangunan Industri Batu-Bata/Batako
1.3.1.01.01.03.013;Tanah Bangunan Industri Genteng
1.3.1.01.01.03.014;Tanah Bangunan Industri Percetakan
1.3.1.01.01.03.015;Tanah Bangunan Industri Tekstil
1.3.1.01.01.03.016;Tanah Bangunan Industri Alat Olah Raga
1.3.1.01.01.03.017;Tanah Bangunan Industri Kendaraan/Otomotif
1.3.1.01.01.03.018;Tanah Bangunan Industri Persenjataan
1.3.1.01.01.03.019;Tanah Bangunan Industri Kapal Udara
1.3.1.01.01.03.020;Tanah Bangunan Industri Kapal Laut
1.3.1.01.01.03.021;Tanah Bangunan Industri Kereta Api
1.3.1.01.01.03.022;Tanah Bangunan Industri Keramik/Marmer
1.3.1.01.01.03.023;Tanah Untuk Bangunan Pabrik Es
1.3.1.01.01.03.024;Tanah Untuk Bangunan Industri Lainnya
1.3.1.01.01.04.001;Tanah Bangunan Kantor Pemerintah
1.3.1.01.01.04.002;Tanah Bangunan Pendidikan Dan Latihan
1.3.1.01.01.04.003;Tanah Bangunan Rumah Sakit
1.3.1.01.01.04.004;Tanah Bangunan Balai Sidang/Pertemuan
1.3.1.01.01.04.005;Tanah Bangunan Balai Nikah
